start,end,siteBandwidth,accountBandwidth
1780272000000,1780358400000,411063,0
1780358400000,1780444800000,5825108,0
1780444800000,1780531200000,901122,0
1780531200000,1780617600000,1769060,0
1780617600000,1780704000000,819078,0
1780704000000,1780790400000,347672,0
1780790400000,1780876800000,400199,0
1780876800000,1780963200000,16128484,0
1780963200000,1781049600000,6625127,0
1781049600000,1781136000000,3909851,0
1781136000000,1781222400000,3356688,0
1781222400000,1781308800000,6774260,0
1781308800000,1781395200000,165387,0
1781395200000,1781481600000,501312,0
1781481600000,1781568000000,3820300,0
1781568000000,1781654400000,2300745,0
1781654400000,1781740800000,11979985,0
1781740800000,1781827200000,896167,0
1781827200000,1781913600000,16574499,0
1781913600000,1782000000000,422702,0
1782000000000,1782086400000,768618,0
1782086400000,1782172800000,6399310,0
1782172800000,1782259200000,7882913,0
1782259200000,1782345600000,4165568,0
1782345600000,1782432000000,378442,0
1782432000000,1782518400000,867238,0
1782518400000,1782604800000,476796,0
1782604800000,1782691200000,1069306,0
1782691200000,1782777600000,825777,0
1782777600000,1782864000000,3728855,0
1782864000000,1782950400000,41563,0
